   0,  File-bytes,     CID, Process, Voltage,    Temp,     Entropy,  MinEntropy, MinEntropy-Symbol,  Chi-square,        Mean, Monte-Carlo-Pi, Serial-Correlation, Filename
   1,    10485760,     BDX,   noxor,    1.00,  -10.00,    7.999981,    0.997256,                e9,   20.674775,  127.500962,       3.143847,          -0.000068, rawdata_CID-BDX_PROC-noxor_1p0V_-10p0C_.bin
   2,    10485760,     BDX,   noxor,    1.00,   -5.00,    7.999980,    0.997321,                2c,    8.164355,  127.529283,       3.140059,          -0.000405, rawdata_CID-BDX_PROC-noxor_1p0V_-5p0C_.bin
   3,    10485760,     BDX,   noxor,    1.00,    0.00,    7.999981,    0.997486,                61,   15.950139,  127.516150,       3.141919,           0.000019, rawdata_CID-BDX_PROC-noxor_1p0V_0p0C_.bin
   4,    10485760,     BDX,   noxor,    1.00,    5.00,    7.999985,    0.997747,                 3,   96.967123,  127.511345,       3.140471,           0.000107, rawdata_CID-BDX_PROC-noxor_1p0V_5p0C_.bin
   5,    10485760,     BDX,   noxor,    1.00,   10.00,    7.999984,    0.997221,                2e,   80.435989,  127.483355,       3.141956,           0.000043, rawdata_CID-BDX_PROC-noxor_1p0V_10p0C_.bin
   6,    10485760,     BDX,   noxor,    1.00,   15.00,    7.999983,    0.997421,                2c,   68.747744,  127.476071,       3.140329,           0.000050, rawdata_CID-BDX_PROC-noxor_1p0V_15p0C_.bin
   7,    10485760,     BDX,   noxor,    1.00,   20.00,    7.999984,    0.997608,                ce,   85.504422,  127.483947,       3.143062,          -0.000106, rawdata_CID-BDX_PROC-noxor_1p0V_20p0C_.bin
   8,    10485760,     BDX,   noxor,    1.00,   25.00,    7.999982,    0.997577,                9c,   38.557827,  127.486880,       3.144032,           0.000465, rawdata_CID-BDX_PROC-noxor_1p0V_25p0C_.bin
   9,    10485760,     BDX,   noxor,    1.00,   30.00,    7.999983,    0.997890,                e4,   50.955185,  127.480358,       3.143039,          -0.000108, rawdata_CID-BDX_PROC-noxor_1p0V_30p0C_.bin
  10,    10485760,     BDX,   noxor,    1.00,   35.00,    7.999983,    0.997803,                d3,   56.787629,  127.468019,       3.143082,           0.000106, rawdata_CID-BDX_PROC-noxor_1p0V_35p0C_.bin
  11,    10485760,     BDX,   noxor,    1.00,   40.00,    7.999983,    0.997477,                30,   53.345385,  127.499683,       3.140633,           0.000055, rawdata_CID-BDX_PROC-noxor_1p0V_40p0C_.bin
  12,    10485760,     BDX,   noxor,    1.00,   45.00,    7.999983,    0.997260,                53,   51.390028,  127.482031,       3.143071,          -0.000210, rawdata_CID-BDX_PROC-noxor_1p0V_45p0C_.bin
  13,    10485760,     BDX,   noxor,    1.00,   50.00,    7.999984,    0.996767,                c0,   78.171066,  127.500919,       3.142574,          -0.000091, rawdata_CID-BDX_PROC-noxor_1p0V_50p0C_.bin
  14,    10485760,     BDX,   noxor,    1.00,   55.00,    7.999981,    0.996961,                 2,   22.566862,  127.468943,       3.140564,          -0.000119, rawdata_CID-BDX_PROC-noxor_1p0V_55p0C_.bin
  15,    10485760,     BDX,   noxor,    1.00,   60.00,    7.999983,    0.997638,                 6,   72.875705,  127.472838,       3.142425,          -0.000179, rawdata_CID-BDX_PROC-noxor_1p0V_60p0C_.bin
  16,    10485760,     BDX,   noxor,    1.00,   65.00,    7.999980,    0.997369,                1b,    5.159568,  127.494445,       3.141427,          -0.000241, rawdata_CID-BDX_PROC-noxor_1p0V_65p0C_.bin
  17,    10485760,     BDX,   noxor,    1.00,   70.00,    7.999983,    0.997412,                91,   62.725747,  127.551932,       3.141267,          -0.000345, rawdata_CID-BDX_PROC-noxor_1p0V_70p0C_.bin
  18,    10485760,     BDX,   noxor,    1.00,   75.00,    7.999985,    0.997629,                68,   94.141115,  127.481341,       3.141253,          -0.000471, rawdata_CID-BDX_PROC-noxor_1p0V_75p0C_.bin
  19,    10485760,     BDX,   noxor,    1.00,   80.00,    7.999979,    0.996715,                73,    1.116327,  127.505110,       3.142311,           0.000203, rawdata_CID-BDX_PROC-noxor_1p0V_80p0C_.bin
  20,    10485760,     BDX,   noxor,    1.00,   85.00,    7.999983,    0.997725,                bb,   73.896782,  127.524056,       3.140386,          -0.000235, rawdata_CID-BDX_PROC-noxor_1p0V_85p0C_.bin
  21,    10485760,     BDX,   noxor,    1.00,   90.00,    7.999985,    0.997768,                20,   94.768548,  127.538026,       3.139912,           0.000061, rawdata_CID-BDX_PROC-noxor_1p0V_90p0C_.bin
  22,    10485760,     BDX,   noxor,    1.00,   95.00,    7.999981,    0.997542,                68,   22.897672,  127.446166,       3.141649,           0.000330, rawdata_CID-BDX_PROC-noxor_1p0V_95p0C_.bin
  23,    10485760,     BDX,   noxor,    1.00,  100.00,    7.999980,    0.996421,                1e,    3.384105,  127.489026,       3.142464,           0.000416, rawdata_CID-BDX_PROC-noxor_1p0V_100p0C_.bin
  24,    10485760,     BDX,   noxor,    1.00,  105.00,    7.999981,    0.997821,                86,   10.986433,  127.484184,       3.143657,          -0.000089, rawdata_CID-BDX_PROC-noxor_1p0V_105p0C_.bin
  25,    10485760,     BDX,   noxor,    1.00,  110.00,    7.999980,    0.997230,                37,    8.967201,  127.447295,       3.143107,          -0.000208, rawdata_CID-BDX_PROC-noxor_1p0V_110p0C_.bin
